st_gene_id	gene_id	gene_symbol	read_count_BN5_1_1	read_count_BN5_1_2	read_count_BN5_2_1	read_count_BN5_2_2	read_count_N5_1_1	read_count_N5_1_2	read_count_ctrl_2_1	read_count_ctrl_2_2
G10090_6786	21408	Zfp354a	1.02	3.03	1	0	0	1.01	1	2.82
G10090_7258	231807	BC037034	1217	1115	979	1125	1025	1119	1164	1074
G10090_3477	11717	Ampd3	5.97	5	21.53	36.61	52.11	43.94	121.67	117.03
G10090_19182	72040	Cdhr5	0	0	0	0	1	0	1	1
G10090_3205	116848	Baz2a	4654	4381	3245	4727	5119	4355	4203	3989
G10090_11699	218543	Srek1	1140.95	1188.69	699.48	942.44	1299.15	1132.52	902.68	981.68
G10090_32907	72632	Smim18	1	0	2	1	2	1	1	0
G10090_14112	217707	Coq6	223	205	135	199	232	241	227	223
G10090_31334	240411	Loxhd1	4.89	2.05	3.85	8.79	1	2.25	1.21	2.21
G10090_3053	380928	Lmo7	2	3	1	1	8	8	0	0
G10090_12435	320145	Sp8	1.01	0.32	0	0	0	1	0	0
G10090_7402	102639054	102639054	1	0	2	10.02	4.01	2.94	1	3.01
G10090_3159	19188	Psme2	3460.7	3068.68	2319.98	2464.17	3781.34	4202.9	3567.69	3774.83
G10090_20045	67510	Tvp23b	291	283	253	283	296	286	192	181
G10090_6766	107686	Snrpd2	1235	1097	640	660	1026	1231	662	815
G10090_6896	74442	Sgms2	112.73	76.63	97.05	197.58	64.11	62.81	81.16	65.46
G10090_16704	110902	Chrna2	13	1	25	41	76	58	105	127
G10090_14213	14852	Gspt1	3586	3077	1925.05	2214	3447	3609	2223	2184
G10090_4953	19280	Ptprs	3733	3505	754	1043	1815	1693	454	396
G10090_13532	234839	Piezo1	1644.27	1570.97	1323.33	2249.68	2017.93	1784.97	2457.33	2309.39
G10090_671	74450	Pank2	2032.97	1879.06	1205.82	1511.82	1420.7	1486.89	1147.06	1118.28
G10090_8658	433766	Trim63	1	1.01	0.19	1	0	0	1.63	1.9
G10090_19262	319178	Hist1h2bb	1.56	1.7	0	1.52	1.78	7.39	0	0
G10090_21475	100125586	Vmn2r2	0	0	0	1	0	0	0	0
G10090_30019	110308	Krt5	9	0	2	12.7	4	0	0	0
G10090_2799	58187	Cldn10	40	23	7	7	10	9	51	54
G10090_28917	66607	Ms4a4d	16.88	9.36	24.71	42.11	18.86	19.05	15.03	24.07
G10090_20314	331532	Tceal5	0	0	0	0	0	0	0	0
G10090_26325	232146	Eva1a	0	0	0	1	0	0	1	0
G10090_32059	21941	Tnfrsf8	34	39	116	221	471	396	8	11
G10090_6462	72502	Cwf19l1	370	340	236	295	285	284	262	236
G10090_21750	622404	Ccdc107	294	231	255	254	168	199	241	226
G10090_19839	69256	Zfp397	398.62	335.52	284.76	375.93	390.6	346.27	276.76	271.21
G10090_15929	74522	Morc2a	996	967	614	972	1096	970	1279	1203
G10090_18538	328833	Treml2	92	87	47	58.07	309.01	342.09	5383.22	4889.01
G10090_25435	73300	1700031F05Rik	0	0	0	0	0	0	0	0
G10090_25711	20599	Smr3a	0	0	0	0	0	0	33	9
G10090_7102	69806	Slc39a11	468	427	462	503	546	515	456	364
G10090_6142	52440	Tax1bp1	3759	3431	3577	4807	3684	3666	3815	3779
G10090_26139	107513	Ssr1	2759.16	2423.6	1472.88	1870.99	3176.22	3207.79	1992.43	1950.75
G10090_24064	54218	B3galt4	128	152	105	159	154	177	131	144
G10090_16443	99334	Zscan29	973.16	870.84	839.1	1211.03	1137.9	930.77	922.82	898.61
G10090_20873	66464	Taf12	907	740	564	688	876	870	576	561
G10090_8490	79565	Mettl27	35	28	8	9	55	59	129	123
G10090_12842	18113	Nnmt	0	0	0	0	0	1	0	0
G10090_8850	56380	Arid3b	2048	1892	1465	1884	1002	850	885	919
G10090_6125	20439	Siah2	9150	8633	6134	8711	9561	11043	2590	2743
G10090_11899	13524	Adam18	0	0	0	0	0	0	0	0
G10090_18407	72324	Plxdc1	195	151	119	138	398	410	20	19
G10090_10397	72077	Gcnt3	3.43	1.87	3.58	5.23	10.86	14.48	2.21	4.03
G10090_7131	381760	Ssbp1	581	486	300	319	425	479	321	348
G10090_15690	74316	Isca2	456	403	288	319	353	412	293	344
G10090_14832	12212	Chic1	66.02	51.94	130.76	180.39	57.57	61.74	59.35	62.58
G10090_2473	433375	Creg1	357	272	455	474	469	498	574	498
G10090_4185	194952	Jmjd4	320.54	266.94	334.45	400.37	300.55	234.92	221.79	251.03
G10090_24943	71742	Ulk3	705.35	666.36	739.71	992.48	681.02	712.85	772.8	754.36
G10090_22963	624845	Vmn2r82	0	1	0	0	0	0	0	1
G10090_16635	22247	Umps	898	763	406	500	965	1052.02	697	744
G10090_33155	17898	Myl7	0	0	0	0	0	1	0	0
G10090_17095	19712	Rest	363	369	241	438	510	418	397	352
G10090_7706	17281	Fyco1	599.76	610.65	677.38	892.74	679.92	527.74	823.79	783.43
G10090_24375	67657	Rabl3	230	221	91	106	171	163	82	76
G10090_9889	18028	Nfib	1	1	2	0	0	1	0	1
G10090_18243	12504	Cd4	27	15	47	57	52	63	30	24
G10090_9498	67230	Zfp329	233.83	239.06	143.79	213.24	132.25	131.78	109.15	118.56
G10090_5503	269389	Tox2	191	99	861	871	2329	2418	42	43
G10090_20130	319480	Itga11	6.65	9.49	0	4.22	10.92	12.7	3.18	3.73
G10090_26541	59288	Dctn5	1344	1218	925	1214	1186	1271	937	984.92
G10090_8967	67210	Gatad1	1074	941	542	685	991	1028	493	603
G10090_20912	66882	Bzw1	6164	5479	3947	5258	6976	6820	5846	5962
G10090_11245	101055939	Gm4869	0	2	1	0	0	1	3	3
G10090_12868	18479	Pak1	12	15	21	47	31	29	238	253
G10090_4542	70190	2610036A22Rik	166.1	138.92	50.81	83.79	85.53	74.74	59.96	48.74
G10090_11816	14534	Kat2a	2084	2050	1416	1650	1705	1734	2983	2583
G10090_2070	66126	Elof1	643	546	360	443	613	745	310	346
G10090_22265	13803	Enc1	358	376	357	586	500	502	549	585
G10090_17696	628416	Gm6878	1.01	1.02	0	1.9	0.8	0	0	0
G10090_23857	74365	Lonrf3	0	6	1	0	2	3	3	2
G10090_13034	52592	Brms1l	298	271	185	191	252	225	104	106
G10090_6303	22040	Trex1	288	313	389	469	415	456	603	582
G10090_18465	22385	Baz1b	3996	3525	2732	4308	4636	4130	4258	3914
G10090_8086	239827	Pigz	3	3	8	10	9	7	6	5
G10090_8534	20583	Snai2	1.01	5.51	4.62	11.33	22.36	24.98	2.42	0
G10090_2197	19261	Sirpa	82	83	127	147	184	172	155	129
G10090_9585	11775	Ap3b2	0	0	0	1	0	2	0	0
G10090_12027	78245	Acbd7	0	0	0	0	2	0	0	1
G10090_8988	140477	Dmbx1	1.12	0	1	0	0	1	0	0
G10090_16211	22371	Vwf	1	3	6	15	10	16	4	6
G10090_17626	229697	Cym	9	8	67	79	9	17	0	2
G10090_5263	243547	Grip2	1	0	1	1	5	9	0	1
G10090_12919	330812	Rnf150	7.37	6.04	11.8	7.61	6.29	11.04	6.09	4.4
G10090_22550	224572	Vmn2r102	0	0	0	0.96	0	0	0	0
G10090_13216	268417	Zkscan17	1598	1347	896	1311	1455	1436	1262	1161
G10090_6541	15354	Hmgb3	391	293	160.98	237.75	571.02	602.78	139	138.78
G10090_3866	215193	Diexf	476	419	302.97	431.96	360.02	418	600	599.58
G10090_11517	19214	Ptgdr	14.32	18.6	8	6.71	17.01	12.52	1	3.37
G10090_25595	14784	Grb2	6034	4783	3845	5014	5717	6305	3737	3735
G10090_9879	19207	Ptch2	0	0	1	1	2	1	5	2
G10090_20737	70611	Fbxo33	2037	1598	1759	2477	2773	3012	2016	2133
G10090_19541	101055745	Gm29721	282.64	139.83	330.85	725.2	155.27	81.53	15.41	19.51
G10090_29658	22431	Wt1	0	0	0	2	0	0	0	0
G10090_6628	73469	Rnf38	1934	1541	1980	2702	1903	1744	2641	2494
G10090_7672	100503915	Smpd5	95.38	82.85	132.56	131.78	98.13	86.98	247.85	208.8
G10090_15838	270599	Gm648	0	0	0	0	0	0	1	0
G10090_22039	106766	Stap2	1	1	5.49	11.05	5.35	6	15.98	17
G10090_33048	243510	Ccdc142	173	126	179	219	142	163	306	307
G10090_16182	72085	Osgepl1	269	244	122	166	262	244	118	108
G10090_21932	60367	Il1rapl2	0	5.18	2.09	1.21	0.94	0	0	0
G10090_4594	74117	Actr3	19540	16570	13583	16220	19966	20143	15502	16583
G10090_10741	11459	Acta1	7.08	9.17	0	4.05	1.02	12.17	11.81	10.11
G10090_17470	30927	Snai3	125	104	14	16	91	118	251	192
G10090_9325	68877	Maf1	2723	2325	2573	3097	2052	2336	3076	3278
G10090_1667	228355	Madd	4420.54	4342.23	4205.62	6242.22	4515.2	3751.57	5607.31	5454.37
G10090_7762	19697	Rela	3229	2831	3188	4135	3269	3164	3989	3942
G10090_1886	19035	Ppib	3497.46	3010.41	2284.5	2528.33	3331.08	3812.17	2469.99	2657.52
G10090_8284	225908	Myrf	0	1	0	0	0	0	1	1
G10090_14230	231932	Gimap7	3005	2861	2320	2724	3045	3467	1176	1185
G10090_20219	319322	Sf3b2	6879	5935	4807	6929	6703	6608	5869	5694
G10090_30083	68632	Myct1	0	1.95	0.95	1	2	2	1.96	1
G10090_13154	68348	Serpina1f	1	0	0	0	0	0	0	0
G10090_1933	17913	Myo1c	1549.88	1497.83	1251.01	1535.87	1312.59	1356.41	383.52	459.82
G10090_6501	17191	Mbd2	3974	3336	3617	3953	3829	4172	4902	5060
G10090_20238	433804	Zfp985	24.47	14.27	6.2	6.6	20.05	11.47	21.33	22.11
G10090_14606	11936	Fxyd2	6	53	1	0	6	23	7	7
G10090_14861	60425	Doc2g	35	26	32	33	40	50	140	119
G10090_1283	381582	Tmem240	14	13	5	16	9	14	28	15
G10090_20500	68920	1110065P20Rik	124.59	90.54	56.11	78.84	113.21	123.89	100.57	106.42
G10090_1345	14991	H2-M3	748.25	699.93	846.43	884.44	719.84	664.95	715.38	593.53
G10090_32339	14284	Fosl2	1589	1126	2314	3758	2071	2026	6462	5441
G10090_21184	545762	Gm16367	0	0	2	0	1.2	0	0	0
G10090_1685	18795	Plcb1	5.24	1.08	2.2	10.6	8.17	9.1	9.16	10.8
G10090_21498	67439	Xab2	1510	1501	1383	1809	1480	1412	1789	1859
G10090_13197	14272	Fnta	859	736	734	867	862	922	359	376
G10090_16995	19674	Rcvrn	0	0	0	0	1	0	0	0
G10090_20420	20302	Ccl3	189	254.67	346.71	408.89	1484.04	1523.97	295.67	282.88
G10090_31155	67876	Coq10b	446	390	976	1310	565	563	1395	1244
G10090_7714	93703	Pcdhgb6	20.61	40.67	39.1	46.47	72.48	59.15	8.61	8.69
G10090_2997	229363	Gmps	1567	1408.35	869	1053.96	1676	1678.15	1049.32	1041
G10090_10696	17992	Ndufa4	1656	1423	792	886	1515	1760	980	1181
G10090_15697	51813	Ccnc	397.3	359	280.26	370	447.31	440	243	259.38
G10090_8320	71091	Cdkl1	0	0	0	1	1	5	0	1
G10090_31059	15944	Irgm1	939.23	1026.16	2575.76	2468.22	1416.65	1499.3	5755.22	4759.53
G10090_15271	12315	Calm3	5789	4282	2884	3622	4588	5377	2355	2313
G10090_16988	100041306	Gm3264	25.09	29.93	18.03	16.11	22.35	16.38	5.6	9.59
G10090_23361	101056408	Gm15816	0	0	0	0	0	0	0	1
G10090_10304	100502777	Gm38422	17	9.97	5	12	8	12	6	1
G10090_17192	67422	Dhdds	649	569	424	494	521	614	453	445
G10090_5835	246317	Neto1	1058.49	859.65	74.98	130.17	258.59	206.15	13.94	8.13
G10090_1847	208117	Aph1b	6.94	4.36	3.14	9.41	36.34	32.8	9.18	3.95
G10090_25155	232187	Smyd5	1265	1211	476	657	1021	1022	636	611
G10090_18075	19744	Rheb	1018.88	914.3	880.43	1028.53	975.26	985.45	774.98	760.94
G10090_20061	11568	Aebp1	524.63	466.91	253.52	355.31	230.74	240.54	15.04	20.02
G10090_27837	14473	Gc	0	0	0	0	0	0	0	0
G10090_15558	75555	1700020D05Rik	7	7	10	15	2	2	2	4
G10090_511	57811	Rgr	0	1	1.25	0.93	1	0.46	1	0
G10090_11786	19217	Ptger2	192	194	57	53	283	271	12	18
G10090_20375	105245868	Gm48909	9.82	19.05	7.27	16.57	12.32	9.17	10.31	15.66
G10090_19890	15002	H2-Ob	1099	978	550	988	1554	1622	498	693
G10090_5540	381836	Sbk2	11	4	23	28	37	37	4	2
G10090_1986	232491	Pyroxd1	480.65	569.34	527.13	595.33	474.63	408.78	447.56	469.32
G10090_21720	110648	Lmx1a	2.88	0	0	2.76	0	0	0	0
G10090_18878	59053	Hgh1	325.06	250.54	189.02	204.57	250.31	269.42	296.9	309.91
G10090_5400	20536	Slc4a3	3	0	1	0	5	8	1	0
G10090_19373	78908	Igsf3	3	2	0	3	15	12	53	51
G10090_18990	67272	Cmtm5	0	0	2.84	0	1.8	0	1	0
G10090_14904	228361	Ambra1	1562	1376	1070	1625	1722	1552	1909	1895
G10090_14621	195727	Nhs	2.07	2	2.89	1	1	2.01	1	1
G10090_20269	328829	9830107B12Rik	2	2.4	3.12	8.64	4.23	5.48	3.4	4.65
G10090_25083	16952	Anxa1	15	25	79	124	152	158	51	57
G10090_11820	101867	Rrp8	581.42	520.4	336	452	537.26	572.12	478.26	439.85
G10090_6889	230809	Pdik1l	253	236	173	209	204	168	160	122
G10090_32093	320184	Lrrc58	797.58	720.06	473.44	643.65	1084.06	959.55	1220.66	1235.64
G10090_28271	17906	Myl2	0	0	0	0	0	0	0	2
G10090_3106	20970	Sdc3	79	77	203	166	273	252	962	560
G10090_17389	67139	Mis12	413.81	360.73	301.82	368	413.47	382.29	209.77	212
G10090_28041	66220	Zdhhc12	147.31	159.37	107.88	97.65	130.79	151.64	92.98	88.89
G10090_22923	74711	Ttll9	2	0	0	0	10	6	0	2
G10090_3045	66599	Rdm1	339.76	297	343	369.01	293	341	142.1	170
G10090_11610	70894	Efcab3	0	1	0	0	0	0	0	0
G10090_8165	69553	Ripor3	32	28	12	14	41	46	22	19
G10090_27826	24015	Abce1	3050	2784	1685	2141	2823	2899	2579	2744
G10090_20402	244962	Snx14	638	539	445	661	827	794	602	642
G10090_18180	83557	Lin28a	0	0	0	0	5	5	2	1
G10090_18871	243914	Lgi4	4	3.94	5	3.35	15	9.96	2	3
G10090_9509	12946	Cr1l	1582	1381	1336	1643	1272	1363	1503	1491
G10090_103	67726	Fam114a2	1096	939	836	1099	1023	1161	1064	1037
G10090_19525	18420	Otp	0	0	0	2	0	0	0	0
G10090_943	108899	2700081O15Rik	75	93	46	72	174	177	197	210
G10090_18840	11774	Ap3b1	5119	4839	1893	2683	4473	4312	1990	1997
G10090_4496	333088	Kcp	1	2	2.06	3.1	1	3.1	1	0
G10090_10772	70247	Psmd1	2173	1855	1111	1451	2418	2283	1274	1234
G10090_13671	117148	Necab2	0	0	2	0	6	2	0	0
G10090_447	74440	Cmip	5209	4576	4107	5840	5207	5110	4327	4051
G10090_10564	229725	Clcc1	564.61	536.01	430.49	490.5	608.26	592.11	416.46	403.91
G10090_15941	12316	Aspm	217.99	219.06	14	35	385	295	33	25
G10090_21072	50766	Crim1	2515.47	2494.66	2581.45	3932.79	1249.58	1075.84	1771.55	1686.68
G10090_1950	83436	Plekha2	4954.68	4014.78	4462.49	5706.07	6044.2	5660.28	2816.58	2824.86
G10090_343	14766	Adgrg1	19	14	85	95	143	138	44	35
G10090_17380	56629	Dnase2b	1	0	1.02	1	4.47	5	0	1
G10090_29409	11555	Adrb2	106	102	196	370	318	342	1140	1101
G10090_10626	319586	Celf5	6.59	5.91	7.02	16.43	31.05	27.36	6.84	9.38
G10090_15262	270672	Map3k15	26.23	34.18	56.59	91.09	79.06	83.83	68.53	58.91
G10090_5781	217893	Pacs2	679.39	556.24	666.14	917.68	849.03	777.98	1946.44	1784.9
G10090_9547	11804	Aplp2	522	414	1173	1195	1145	1061	774	746
G10090_15769	66411	Tbcb	637	566	278	348	584	645	213	262
G10090_1334	230735	Epha10	0	1	4	2	0	0	0	1.01
G10090_2574	16408	Itgal	31630	26525	19357	25802	28270	26350	12926	12148
G10090_13754	100198	H6pd	461	372	283	422	418	404	741	552
G10090_5680	71865	Fbxo30	127.23	105.05	78	92.37	140	127.38	74.42	120.06
G10090_30034	17149	Magoh	1035	963	817	900	962	1162	979	1108
G10090_6828	76357	Trmt5	289	283	148	167	226	212	163	192
G10090_30065	71909	Haus5	402	355	368	470	327	356	433	436
G10090_4031	384198	Fam47e	1	3	0	5	1.01	1	0	1
G10090_19856	57230	Sap30bp	668	597	411	605	552	618	682	631
G10090_19307	78896	1500015O10Rik	0	0	1	3	2	0	1	1
G10090_14013	12236	Bub1b	788	729	157	193	897	880	82	67
G10090_3368	105247180	Gm42323	0	0	0	0	0	3	0	1
G10090_7370	20465	Sim2	0	0	20	13	0	1	0	3
G10090_2990	268980	Strn	1377.03	1161.07	960	1325.81	1382.94	1127.67	882.16	803.79
G10090_28280	67619	Nob1	915	736	537	692	777	932	1263	1257
G10090_30952	18587	Pde6b	0	0	0	0	0	0	0	1
G10090_18170	26876	Adh4	2	1	3	2	2	9	0	0
G10090_23277	77630	Prdm8	0	0	3.42	3.9	6.1	0	1.27	0.42
G10090_11926	78816	Gmip	4026.01	3684.95	3576.04	4483.96	3810.48	3662.95	3659.88	3536.36
G10090_18308	66757	Adat2	181.92	157.64	57.53	82.04	189.16	167.48	54.1	89.37
G10090_9636	56703	Pigo	760	661	527	674	748	697	949	813
G10090_7218	228785	Mylk2	1.82	2	0.99	4.13	17.06	21.02	4.96	2.56
G10090_6808	108169093	Gm43828	458.7	447	274.49	310.73	381.42	425.61	677.35	378.12
G10090_8610	28199	Dcaf11	1912	1642	1420	1772	1758	1842	1869	1733
G10090_22315	54194	Akap8l	1613	1480	1428	1859	1403	1511	2104	2085
G10090_21224	23960	Oas1g	18.1	4.16	42.59	19.26	35.13	31.12	43.53	36.76
G10090_23042	67270	Mrpl42	791	655	356	369	728	870	533	509
G10090_8592	276952	Rasl10b	1	0	0	0	4	0	0	3
G10090_7354	70351	Ppp4r1	1272.01	1172.67	919.91	1234.31	1486.24	1440.94	937.31	1017.02
G10090_14380	94180	Acsbg1	195	142	122	145	166	185	343	379
G10090_1735	320772	Mdga2	0	1.31	1.01	1.17	0	0.39	1.14	0
G10090_6077	50765	Tfr2	4	3	1	24	27	25	2	9
G10090_12565	11306	Abcb7	1087.76	971.07	564.85	772.08	1088.39	1022.94	784.24	872.6
G10090_10546	16858	Lgals7	8	8	0	2	31	36	1	2
G10090_890	57743	Sec61a2	159.52	154.83	116.9	153.35	159.18	151.69	168.81	128.78
G10090_12808	216080	Ube2d1	2022	1708	1615	2007	1398	1496	1365	1254
G10090_22359	217012	Unc45b	0	1	2	2	2	0	1	2
G10090_24905	114564	Csprs	7.36	4.14	30.74	56.05	0	4.96	16.4	12.78
G10090_8826	242546	Cyp2j12	0	0	0	0	0	0	1	0
G10090_14254	217302	Gpr142	3	0	2	1	0	0	0	0
G10090_17855	226414	Dars	2498	2211	1429	1613	2433	2416	2065	2083
G10090_19657	16973	Lrp5	19	17	13	22	84	71	207	159
G10090_30682	245195	Retnlg	10	1	47	74	73	101	30	38
G10090_3697	16985	Lsp1	8904	7702	5544	6590	8309	9117	9424	9974
G10090_1694	102334	Ankrd10	1608	1564	1921	2472	1736	1752	2252	2177
G10090_17689	58202	Nelfb	1884	1596	1433	1898	1762	1832	1465	1458
G10090_23945	12000	Avpr2	35.12	22.03	22.03	42	15.03	13.05	37.08	30.02
G10090_30502	67219	Med18	51.63	51.62	33.66	45.69	60.95	49.48	53.48	51.73
G10090_8428	24050	3-Sep	3.48	7.8	26.17	33.1	18.05	21.96	9	8.76
G10090_9672	110854	Ptpa	3091	2597	1701	2067	2816	3070	2111	2113
G10090_7581	75735	Pank1	168.09	143.72	168.06	248.89	195.36	164.97	68.41	69.3
G10090_8222	17112	Tm4sf1	0	0	1	1	0	0	0	1
G10090_20111	67890	Ufm1	748	621	430	555	792	855	670	716
G10090_2896	22628	Ywhag	2250.01	1828.06	1236.99	1483.17	1803.87	1850.96	1086.79	934.38
G10090_11744	67463	Poc5	372.22	344.55	301	359.14	282.37	312.59	324.93	293
G10090_3587	18984	Por	1049	897	978	1261	1398	1554	1052	917
G10090_22862	24069	Sufu	1112	830	803	1037	1147	1117	1078	951
G10090_12741	11767	Ap1m1	2089	1771	1473	1724	1968	2123	2044	2071
G10090_9176	68929	Mospd3	1152	1095	417	535	999	1094	749	667
G10090_24063	11655	Alas1	659	596	238	313	495	549	313	288
G10090_19737	71939	Apol6	1.79	11.28	0.28	6.93	2.18	3.38	0	5.56
G10090_3621	170770	Bbc3	272	191.08	506.66	546.09	331.02	371	1364	1252
G10090_15268	108077	Skiv2l	3048	2692	2595	3526	2977	3059	3054	3115
G10090_12723	212483	Fam193b	2433.92	2228	2525	3615	2121	2194	3467	3347.03
G10090_9953	239463	Fam83a	9.75	18.65	19.53	24.42	19.1	18.2	14.98	26.79
G10090_3610	213990	Agap3	1341	1228	1291	1649	1057	1196	1429	1339
G10090_15222	74770	Hhatl	1	0	0	0	0	0	0	1
G10090_9510	11777	Ap3s1	2851	2561	1613	1959	1925	1928	608	725
G10090_2955	17179	Matk	45	27	12	29	452	504	421	338
G10090_14988	102294	Cyp4v3	555	482	802	869	342	359	262	274
G10090_1010	207607	Ccdc40	71	51	23	25	190	187	11	16
G10090_9264	22337	Vdr	2	4	0	2	44	37	2	0
G10090_5157	50497	Hspa14	1483	1349	755	1095	1745	1745	947	882
G10090_33154	215449	Rap1b	8194	7022	7976	9460	8598	8651	10016	9922
G10090_10510	67203	Nde1	2448	2174	1329	1564	1900	1811	678	645
G10090_7156	72585	Lypd1	37.13	30.66	39.62	82.38	22.82	19.32	15.64	12.73
G10090_17638	212933	Pm20d1	2	5	0	5	18	15	0	0
G10090_25961	20324	Cavin2	0	1	5	2	3	0	2	2
G10090_6529	76073	Pcgf5	538	529	635	751	603.97	631	1204	1009
G10090_13799	11674	Aldoa	10309.57	9416.51	4763.7	6123.51	16639.51	18402.55	6820.59	6797.81
G10090_25517	195564	Skint3	3	0	7	6	6	5	2	3
G10090_7011	93888	Pcdhb17	0	0	0	0	0	0	1	0
G10090_281	328505	Skint7	0	0.9	1.95	0	2.62	1	0	1.52
G10090_8737	114604	Prdm15	405	395	397	615	601	546	746	821
G10090_20524	231147	Sh3tc1	33	27	10	21	48	52	44	54
G10090_13515	215653	Rassf2	3960.05	3397.09	3669.54	4616.44	3775.12	3389.79	3427.79	3389.43
G10090_29545	67988	Tmx3	1532	1407	1001	1428	1521	1300	961	971
G10090_26026	105247050	Gm42226	441.16	586.37	521.27	994.43	542.58	414.44	509.49	639.05
G10090_32377	23832	Xcr1	160.62	137.76	68.51	100.92	286.5	249.8	76.01	76.89
G10090_22886	11689	Alox5	3	4	12	25	64	70	7	9
G10090_29327	100862025	Gm21409	0	0	0	0	0	0	0	0
G10090_9655	74144	Robo4	0	0	0	2	0	0	2	0
G10090_26177	22687	Zpr1	1081.89	976	978.2	1207.24	1057	1157.56	1717.83	1698.57
G10090_10851	56878	Rbms1	2534	2170	2021	2701	2309	2215	1999	2009
G10090_8734	100038417	Spink13	0	2	0	0	0	1	3	0
G10090_15410	66142	Cox7b	1735	1483	708	768	1653	1751	1021	1157
G10090_5861	330963	Ankdd1a	97.84	106.13	135.36	213.82	105.07	117.99	140.85	141.87
G10090_14361	22415	Wnt3	790	655	373	534	88	103	4	16
G10090_19496	320825	Samd5	5.8	7.02	1	1.86	23.01	13	2	1.01
G10090_19831	66859	Slc16a9	1	0	5	3	4	4	10	3
